Abbreviation,Subject,Creator,Title,Publisher,Contributor,Date,Type,Format,Identifier,Source,Citation,Language,Rights,Coverage
worldpop_age_50_59,Demographic,Worldpop,Number of people on age group 50 to 59,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_55_59,Demographic,Worldpop,Number of people on age group 55 to 59,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_60_64,Demographic,Worldpop,Number of people on age group 60 to 64,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_60_69,Demographic,Worldpop,Number of people on age group 60 to 69,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_65_69,Demographic,Worldpop,Number of people on age group 65 to 69,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_70_74,Demographic,Worldpop,Number of people on age group 70 to 74,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_70_80,Demographic,Worldpop,Number of people on age group 70 and above,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_75_79,Demographic,Worldpop,Number of people on age group 75 to 79,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_80,Demographic,Worldpop,Number of people on age group over 80,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_0_14,Demographic,Worldpop,Number of people on age group 0 to 14 (mortality),HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_15_49,Demographic,Worldpop,Number of people on age group 15 to 49 (mobile population),HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_5_39,Demographic,Worldpop,Number of people on age group 5 to 39 (morbidity),HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_age_65,Demographic,Worldpop,Number of people on age group over 65 (mortality),HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,doi/10.5258/SOTON/WP00699,Worldpop,"Bondarenko M., Kerr D., Sorichetta A., and Tatem, A.J. 2020. Estimates of total number of people per grid square, adjusted to match the corresponding UNPD 2020 estimates and broken down by gender and age groupings, produced using Ecopia.AI and Maxar Technologies building footprints. WorldPop, University of Southampton, UK. doi:10.5258/SOTON/WP00699",eng,CC BY 4.0,Tanzania
worldpop_popc,Demographic,Worldpop,Population counts,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5258/SOTON/WP00660,Worldpop,https://doi.org/10.1371/journal.pone.0107042,eng,CC BY 4.0,Tanzania
worldpop_popd,Demographic,Worldpop,Population density,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5258/SOTON/WP00675,Worldpop,https://doi.org/10.1371/journal.pone.0107043,eng,CC BY 4.0,Tanzania
worldpop_poverty_cons125,Demographic,Worldpop,Proportion of Population living  <1.25$ income,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5258/SOTON/WP00290,Worldpop,https://doi.org/10.1098/rsif.2016.0690,eng,CC BY 4.0,Tanzania
worldpop_poverty_cons200,Demographic,Worldpop,Proportion of Population living  <2$ income,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5258/SOTON/WP00290,Worldpop,https://doi.org/10.1098/rsif.2016.0690,eng,CC BY 4.0,Tanzania
worldpop_poverty_mpi,Demographic,Worldpop,Proportion of Poor Population according to MPI,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5258/SOTON/WP00649,Worldpop,https://doi.org/10.1016/j.rse.2014.09.023,eng,CC BY 4.0,Tanzania
worldpop_urbanext,Demographic,Worldpop,Urban Settlement Extent,HAW Hamburg,ESIDA,14.06.2023,Dataset,csv,10.5258/SOTON/WP00649,Worldpop,https://doi.org/10.1016/j.rse.2014.09.023,eng,CC BY 4.0,Tanzania
